x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
9.337;0.559535;0.00471955;0.0025256;0.002522625;-0.104697;1.31335;-0.058581636;6.01656E-06;0.002640753
9.633;0.55771;0.0047437;0.00252775;0.002513425;-0.1078615;1.3078;-0.060155437;1.35375E-06;0.002645609
9.93;0.558235;0.0047803;0.00252955;0.0025507;-0.105738;1.3104;-0.059026652;-2.19815E-06;0.002668531
10.23;0.55549;0.00481465;0.00252165;0.002543475;-0.1068645;1.30215;-0.059362161;-7.156E-07;0.00267449
10.52;0.557225;0.00478305;0.00252195;0.00254605;-0.1108415;1.3039;-0.061763655;-9.763E-07;0.002665235
10.82;0.55921;0.00473985;0.0025203;0.002518625;-0.107194;1.31075;-0.059943957;-3.09966E-06;0.002650572
11.12;0.560035;0.00475715;0.0025154;0.002528975;-0.109271;1.3108;-0.061195584;-3.74703E-06;0.002664171
11.41;0.562115;0.0047684;0.0025136;0.00255155;-0.1117835;1.31515;-0.062835182;6.72536E-06;0.002680389
11.71;0.560825;0.0047928;0.0025088;0.00254935;-0.111421;1.312;-0.062487682;4.8204E-07;0.002687922
12;0.55779;0.00478225;0.00250535;0.00252075;-0.1173165;1.3007;-0.065437971;-8.7675E-07;0.002667491
12.3;0.56204;0.0047399;0.0025076;0.002511175;-0.1168365;1.30995;-0.065666786;-2.37915E-06;0.002664013
12.6;0.56286;0.0047449;0.00250855;0.002537;-0.1146865;1.3144;-0.064552443;6.33029E-06;0.002670714
12.89;0.55941;0.00478445;0.00250675;0.002535175;-0.112745;1.3083;-0.06307068;-1.36147E-06;0.002676469
13.19;0.56424;0.00476065;0.0025131;0.0025698;-0.111918;1.3202;-0.063148612;-5.8428E-06;0.002686149
13.49;0.560385;0.00475295;0.0025148;0.00252635;-0.1108125;1.31165;-0.062097663;4.33722E-06;0.002663482
13.78;0.56335;0.00471475;0.0025136;0.00253625;-0.1080395;1.3202;-0.060864052;6.861E-07;0.002656054
14.08;0.56307;0.00474465;0.00250715;0.002537725;-0.1095245;1.31955;-0.06166996;-1.36056E-06;0.00267157
14.38;0.55941;0.00473765;0.00250995;0.002519425;-0.108901;1.3108;-0.060920308;-7.9535E-07;0.002650289
14.67;0.562375;0.00472535;0.0025133;0.002519425;-0.110341;1.3172;-0.06205302;4.0988E-06;0.002657419
14.97;0.564095;0.00473025;0.0025148;0.002544525;-0.1098965;1.3207;-0.061992066;-4.30315E-06;0.00266831
15.27;0.56296;0.0048018;0.00251895;0.00259055;-0.1085005;1.3191;-0.061081441;-3.10825E-06;0.002703221
15.56;0.56326;0.0047213;0.0025226;0.0025243;-0.1109405;1.31835;-0.062488346;0.000003345;0.002659319
15.86;0.56733;0.00470935;0.0025264;0.00256295;-0.105872;1.3304;-0.060064362;3.1497E-06;0.002671756
